code,name,market
2138,クルーズ,standard
2139,中広,standard
2146,ＵＴグループ,prime
2148,アイティメディア,prime
2152,幼児活動研究会,standard
2153,Ｅ・Ｊホールディングス,prime
2154,オープンアップグループ,prime
2156,セーラー広告,standard
2157,コシダカホールディングス,prime
2158,ＦＲＯＮＴＥＯ,growth
215A,タイミー,growth
2160,ジーエヌアイグループ,growth
2162,ｎｍｓ　ホールディングス,standard
2163,アルトナー,prime
2164,地域新聞社,standard
2168,パソナグループ,prime
2169,ＣＤＳ,standard
2170,リンクアンドモチベーション,prime
2173,博展,growth
2175,エス・エム・エス,prime
2179,成学社,standard
2180,サニーサイドアップグループ,standard
2181,パーソルホールディングス,prime
2183,リニカル,standard
2185,シイエム・シイ,standard
2186,ソーバル,standard
218A,Ｌｉｂｅｒａｗａｒｅ,growth
2193,クックパッド,standard
2195,アミタホールディングス,growth
2198,アイ・ケイ・ケイホールディングス,prime
219A,Ｈｅａｒｔｓｅｅｄ,growth
2201,森永製菓,prime
2204,中村屋,standard
2206,江崎グリコ,prime
2207,ｍｅｉｔｏ,prime
2208,ブルボン,standard
2209,井村屋グループ,prime
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,standard
2211,不二家,prime
2212,山崎製パン,prime
2215,第一屋製パン,standard
2216,カンロ,standard
2217,モロゾフ,prime
2220,亀田製菓,prime
2221,岩塚製菓,standard
2222,寿スピリッツ,prime
2224,コモ,standard
2226,湖池屋,standard
2229,カルビー,prime
2264,森永乳業,prime
2266,六甲バター,prime
2267,ヤクルト本社,prime
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,standard
2269,明治ホールディングス,prime
2270,雪印メグミルク,prime
2281,プリマハム,prime
2282,日本ハム,prime
2286,林兼産業,standard
2288,丸大食品,prime
228A,オプロ,growth
2291,福留ハム,standard
2292,Ｓ　Ｆｏｏｄｓ,prime
2293,滝沢ハム,standard
2294,柿安本店,prime
2296,伊藤ハム米久ホールディングス,prime
2300,きょくとう,standard
2301,学情,prime
2303,ドーン,standard
2304,ＣＳＳホールディングス,standard
2305,スタジオアリス,standard
2307,クロスキャット,prime
2311,エプコ,standard
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,standard
2317,システナ,prime
2321,ソフトフロントホールディングス,growth
2323,ｆｏｎｆｕｎ,standard
2325,ＮＪＳ,prime
2326,デジタルアーツ,prime
2327,日鉄ソリューションズ,prime
2329,東北新社,standard
2330,フォーサイド,standard
2331,ＡＬＳＯＫ,prime
2332,クエスト,standard
2334,イオレ,growth
2335,キューブシステム,prime
2337,いちご,prime
2338,クオンタムソリューションズ,standard
2340,極楽湯ホールディングス,standard
2341,アルバイトタイムス,standard
2342,トランスジェニックグループ,standard
2345,ＨＯＤＬ１,standard
2349,エヌアイデイ,standard
2351,ＡＳＪ,standard
2353,日本駐車場開発,prime
2354,ＹＥ　ＤＩＧＩＴＡＬ,standard
2359,コア,prime
2370,メディネット,growth
2371,カカクコム,prime
2373,ケア２１,standard
2375,ギグワークス,standard
2376,サイネックス,standard
2378,ルネサンス,prime
2379,ディップ,prime
2384,ＳＢＳホールディングス,prime
2385,総医研ホールディングス,growth
2388,ウェッジホールディングス,growth
2391,プラネット,standard
2393,日本ケアサプライ,standard
2395,新日本科学,prime
2404,鉄人化ホールディングス,standard
2408,ＫＧ情報,standard
2410,キャリアデザインセンター,prime
2411,ゲンダイエージェンシー,standard
2413,エムスリー,prime
2415,ヒューマンホールディングス,standard
2418,ツカダ・グローバルホールディング,standard
241A,ＲＯＸＸ,growth
2424,ブラス,standard
2425,ケアサービス,standard
2428,ウェルネット,standard
2429,ワールドホールディングス,prime
2432,ディー・エヌ・エー,prime
2433,博報堂ＤＹホールディングス,prime
2435,シダー,standard
2436,共同ピーアール,standard
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,standard
2438,アスカネット,growth
2440,ぐるなび,standard
2445,タカミヤ,standard
2449,プラップジャパン,standard
244A,グロースエクスパートナーズ,growth
2454,オールアバウト,standard
2459,アウンコンサルティング,standard
245A,ＩＮＧＳ,growth
